date,predicted_gold_Price,actual_gold_Price
2012-01-18,27579.674,27499.0
2012-01-19,27606.16,27378.0
2012-01-20,27655.65,27471.0
2012-01-23,27716.623,27527.0
2012-01-24,27703.64,27409.0
2012-01-19,27512.74,27378.0
2012-01-20,27534.219,27471.0
2012-01-23,27635.033,27527.0
2012-01-24,27638.465,27409.0
2012-01-25,27631.35,27598.0
2012-01-20,27429.469,27471.0
2012-01-23,27498.504,27527.0
2012-01-24,27525.936,27409.0
2012-01-25,27535.262,27598.0
2012-01-26,27535.016,27773.0
2012-01-23,27512.816,27527.0
2012-01-24,27550.1,27409.0
2012-01-25,27569.951,27598.0
2012-01-26,27576.123,27773.0
2012-01-27,27571.572,27948.0
2012-01-25,27439.89,27598.0
2012-01-26,27447.934,27773.0
2012-01-27,27475.99,27948.0
2012-01-30,27525.766,28042.0
2012-01-31,27520.0,28078.0
2012-01-26,27578.816,27773.0
2012-01-27,27597.193,27948.0
2012-01-30,27669.715,28042.0
2012-01-31,27661.455,28078.0
2012-02-01,27650.791,28054.0
2012-01-27,27758.652,27948.0
2012-01-30,27829.404,28042.0
2012-01-31,27821.207,28078.0
2012-02-01,27811.945,28054.0
2012-02-02,27780.205,28139.0
2012-01-30,28013.627,28042.0
2012-01-31,28010.28,28078.0
2012-02-01,28005.234,28054.0
2012-02-02,27970.79,28139.0
2012-02-03,27940.14,27651.0
2012-02-01,28127.803,28054.0
2012-02-02,28134.336,28139.0
2012-02-03,28145.797,27651.0
2012-02-06,28119.365,27780.0
2012-02-07,28102.03,28182.0
2012-02-02,28110.766,28139.0
2012-02-03,28125.244,27651.0
2012-02-06,28140.504,27780.0
2012-02-07,28129.098,28182.0
2012-02-08,28102.406,27998.0
2012-02-03,28157.572,27651.0
2012-02-06,28210.508,27780.0
2012-02-07,28214.955,28182.0
2012-02-08,28195.947,27998.0
2012-02-09,28167.012,28172.0
2012-02-06,27759.004,27780.0
2012-02-07,27759.238,28182.0
2012-02-08,27745.951,27998.0
2012-02-09,27730.371,28172.0
2012-02-10,27708.246,28082.0
2012-02-08,28131.37,27998.0
2012-02-09,28143.387,28172.0
2012-02-10,28146.908,28082.0
2012-02-13,28101.197,27927.0
2012-02-14,28077.629,27873.0
2012-02-09,28083.082,28172.0
2012-02-10,28088.299,28082.0
2012-02-13,28082.045,27927.0
2012-02-14,28062.953,27873.0
2012-02-15,28036.96,27951.0
2012-02-10,28215.863,28082.0
2012-02-13,28240.426,27927.0
2012-02-14,28227.16,27873.0
2012-02-15,28201.127,27951.0
2012-02-16,28171.236,27914.0
2012-02-13,28191.795,27927.0
2012-02-14,28194.656,27873.0
2012-02-15,28181.1,27951.0
2012-02-16,28157.457,27914.0
2012-02-17,28128.227,27868.0
2012-02-15,27925.75,27951.0
2012-02-16,27923.488,27914.0
2012-02-17,27937.543,27868.0
2012-02-20,27943.902,27946.0
2012-02-21,27932.822,28145.0
2012-02-16,27978.072,27914.0
2012-02-17,27982.264,27868.0
2012-02-20,28025.26,27946.0
2012-02-21,28019.996,28145.0
2012-02-22,28005.238,28391.0
2012-02-17,27951.629,27868.0
2012-02-20,28004.617,27946.0
2012-02-21,28012.152,28145.0
2012-02-22,28006.355,28391.0
2012-02-23,27999.863,28678.0
2012-02-20,27948.127,27946.0
2012-02-21,27971.143,28145.0
2012-02-22,27980.13,28391.0
2012-02-23,27983.18,28678.0
2012-02-24,27972.252,28448.0
2012-02-22,28138.473,28391.0
2012-02-23,28167.234,28678.0
2012-02-24,28196.158,28448.0
2012-02-27,28199.61,28521.0
2012-02-28,28192.629,28638.0
2012-02-23,28352.586,28678.0
2012-02-24,28380.824,28448.0
2012-02-27,28393.398,28521.0
2012-02-28,28385.229,28638.0
2012-02-29,28343.06,27733.0
2012-02-24,28536.707,28448.0
2012-02-27,28574.475,28521.0
2012-02-28,28570.16,28638.0
2012-02-29,28529.836,27733.0
2012-03-01,28529.268,27592.0
2012-02-27,28571.758,28521.0
2012-02-28,28579.016,28638.0
2012-02-29,28546.232,27733.0
2012-03-01,28547.283,27592.0
2012-03-02,28506.498,27723.0
2012-02-29,28668.441,27733.0
2012-03-01,28721.766,27592.0
2012-03-02,28718.898,27723.0
2012-03-05,28710.098,27747.0
2012-03-06,28669.143,27871.0
2012-03-01,27923.023,27592.0
2012-03-02,27927.236,27723.0
2012-03-05,27927.188,27747.0
2012-03-06,27908.078,27871.0
2012-03-07,27905.893,27916.0
2012-03-02,27650.1,27723.0
2012-03-05,27677.36,27747.0
2012-03-06,27672.11,27871.0
2012-03-07,27677.281,27916.0
2012-03-08,27676.527,27995.0
2012-03-05,27774.193,27747.0
2012-03-06,27770.982,27871.0
2012-03-07,27778.117,27916.0
2012-03-08,27778.652,27995.0
2012-03-09,27777.764,28018.0
2012-03-07,27947.59,27916.0
2012-03-08,27932.182,27995.0
2012-03-09,27936.453,28018.0
2012-03-12,27935.639,27994.0
2012-03-13,27938.693,27856.0
2012-03-08,28028.207,27995.0
2012-03-09,28010.621,28018.0
2012-03-12,28020.621,27994.0
2012-03-13,28029.38,27856.0
2012-03-14,28027.084,27478.0
2012-03-09,28099.363,28018.0
2012-03-12,28082.588,27994.0
2012-03-13,28093.701,27856.0
2012-03-14,28095.127,27478.0
2012-03-15,28102.453,27720.0
2012-03-12,28106.754,27994.0
2012-03-13,28121.03,27856.0
2012-03-14,28128.314,27478.0
2012-03-15,28141.562,27720.0
2012-03-16,28137.56,27852.0
2012-03-14,27988.81,27478.0
2012-03-15,27988.297,27720.0
2012-03-16,28001.105,27852.0
2012-03-19,28032.273,27901.0
2012-03-20,28016.764,27807.0
2012-03-15,27545.984,27720.0
2012-03-16,27556.158,27852.0
2012-03-19,27582.645,27901.0
2012-03-20,27572.71,27807.0
2012-03-21,27573.936,27846.0
2012-03-16,27767.266,27852.0
2012-03-19,27784.895,27901.0
2012-03-20,27783.098,27807.0
2012-03-21,27790.217,27846.0
2012-03-22,27784.184,27906.0
2012-03-19,27934.617,27901.0
2012-03-20,27937.666,27807.0
2012-03-21,27953.197,27846.0
2012-03-22,27954.566,27906.0
2012-03-23,27962.902,28117.0
2012-03-21,27953.082,27846.0
2012-03-22,27931.049,27906.0
2012-03-23,27942.945,28117.0
2012-03-26,27961.832,28371.0
2012-03-27,27953.402,28290.0
2012-03-22,27955.102,27906.0
2012-03-23,27935.201,28117.0
2012-03-26,27938.174,28371.0
2012-03-27,27931.635,28290.0
